#  E (eV)   dos(E)     Int dos(E)
 -6.280121  0.88362564E-06  0.12022338E-06
 -6.144064  0.18543690E-03  0.25350197E-04
 -6.008007  0.66306012E-02  0.92748937E-03
 -5.871950  0.50201327E-01  0.77577273E-02
 -5.735893  0.12481091E+00  0.24739115E-01
 -5.599836  0.18256818E+00  0.49578779E-01
 -5.463779  0.22558708E+00  0.80271462E-01
 -5.327723  0.26305610E+00  0.11606206E+00
 -5.191666  0.29602214E+00  0.15633792E+00
 -5.055609  0.32685708E+00  0.20080909E+00
 -4.919552  0.35874703E+00  0.24961911E+00
 -4.783495  0.38407633E+00  0.30187535E+00
 -4.647438  0.41877001E+00  0.35885191E+00
 -4.511381  0.44316698E+00  0.41914784E+00
 -4.375324  0.47393017E+00  0.48362932E+00
 -4.239267  0.51391233E+00  0.55355065E+00
 -4.103210  0.53130136E+00  0.62583787E+00
 -3.967153  0.59402121E+00  0.70665857E+00
 -3.831096  0.62518624E+00  0.79171948E+00
 -3.695040  0.69755275E+00  0.88662636E+00
 -3.558983  0.82297844E+00  0.99859827E+00
 -3.422926  0.83013139E+00  0.11115434E+01
 -3.286869  0.82018423E+00  0.12231351E+01
 -3.150812  0.78666687E+00  0.13301666E+01
 -3.014755  0.70811055E+00  0.14265099E+01
 -2.878698  0.67178543E+00  0.15179110E+01
 -2.742641  0.66300079E+00  0.16081168E+01
 -2.606584  0.56435233E+00  0.16849009E+01
 -2.470527  0.50106498E+00  0.17530742E+01
 -2.334470  0.55202231E+00  0.18281807E+01
 -2.198413  0.38613259E+00  0.18807167E+01
 -2.062356  0.32264342E+00  0.19246146E+01
 -1.926300  0.35044175E+00  0.19722946E+01
 -1.790243  0.17037005E+00  0.19954746E+01
 -1.654186  0.52764556E-01  0.20026536E+01
 -1.518129  0.17026130E+00  0.20258188E+01
 -1.382072  0.30252255E+00  0.20669791E+01
 -1.246015  0.23566802E+00  0.20990434E+01
 -1.109958  0.38765385E+00  0.21517864E+01
 -0.973901  0.73368107E+00  0.22516088E+01
 -0.837844  0.97744100E+00  0.23845964E+01
 -0.701787  0.13224508E+01  0.25645250E+01
 -0.565730  0.11555778E+01  0.27217493E+01
 -0.429673  0.85139215E+00  0.28375871E+01
 -0.293617  0.66858709E+00  0.29285530E+01
 -0.157560  0.64120779E+00  0.30157938E+01
 -0.021503  0.60726773E+00  0.30984167E+01
  0.114554  0.51068607E+00  0.31678991E+01
  0.250611  0.45032001E+00  0.32291683E+01
  0.386668  0.44669887E+00  0.32899447E+01
  0.522725  0.41639885E+00  0.33465987E+01
  0.658782  0.38851118E+00  0.33994583E+01
  0.794839  0.29683035E+00  0.34398441E+01
  0.930896  0.36950323E+00  0.34901176E+01
  1.066953  0.27237625E+00  0.35271763E+01
  1.203010  0.30668518E+00  0.35689029E+01
  1.339066  0.23597196E+00  0.36010085E+01
  1.475123  0.25834050E+00  0.36361576E+01
  1.611180  0.45854585E+00  0.36985459E+01
  1.747237  0.71295911E+00  0.37955489E+01
  1.883294  0.10602512E+01  0.39398034E+01
  2.019351  0.11456804E+01  0.40956812E+01
  2.155408  0.10422635E+01  0.42374883E+01
  2.291465  0.10614468E+01  0.43819055E+01
  2.427522  0.98253143E+00  0.45155857E+01
  2.563579  0.10414295E+01  0.46572794E+01
  2.699636  0.10890836E+01  0.48054568E+01
  2.835693  0.11043915E+01  0.49557169E+01
  2.971750  0.11976261E+01  0.51186622E+01
  3.107806  0.13389991E+01  0.53008423E+01
  3.243863  0.14585910E+01  0.54992937E+01
  3.379920  0.14709587E+01  0.56994278E+01
  3.515977  0.14601326E+01  0.58980889E+01
  3.652034  0.13787842E+01  0.60856821E+01
  3.788091  0.13855173E+01  0.62741913E+01
  3.924148  0.13280891E+01  0.64548870E+01
  4.060205  0.12881978E+01  0.66301552E+01
  4.196262  0.12656977E+01  0.68023622E+01
  4.332319  0.12268085E+01  0.69692779E+01
  4.468376  0.11874043E+01  0.71308325E+01
  4.604433  0.11645716E+01  0.72892805E+01
  4.740489  0.11054980E+01  0.74396912E+01
  4.876546  0.94922051E+00  0.75688392E+01
  5.012603  0.76712298E+00  0.76732116E+01
  5.148660  0.58730251E+00  0.77531182E+01
  5.284717  0.50806286E+00  0.78222436E+01
  5.420774  0.40612473E+00  0.78774997E+01
  5.556831  0.32615406E+00  0.79218752E+01
  5.692888  0.26264054E+00  0.79576093E+01
  5.828945  0.18294676E+00  0.79825005E+01
  5.965002  0.10185867E+00  0.79963590E+01
  6.101059  0.25034156E-01  0.79997651E+01
  6.237116  0.16750577E-02  0.79999930E+01
  6.373173  0.93410391E-03  0.80001201E+01
  6.509229  0.19176432E-01  0.80027292E+01
  6.645286  0.92927157E-01  0.80153726E+01
  6.781343  0.22247857E+00  0.80456423E+01
  6.917400  0.30437670E+00  0.80870549E+01
  7.053457  0.40353184E+00  0.81419582E+01
  7.189514  0.48372598E+00  0.82077724E+01
  7.325571  0.51939450E+00  0.82784397E+01
  7.461628  0.62276321E+00  0.83631709E+01
  7.597685  0.74935247E+00  0.84651255E+01
  7.733742  0.81480695E+00  0.85759856E+01
  7.869799  0.97653510E+00  0.87088500E+01
  8.005856  0.11541118E+01  0.88658749E+01
  8.141912  0.13487813E+01  0.90493859E+01
  8.277969  0.15327198E+01  0.92579230E+01
  8.414026  0.15286371E+01  0.94659047E+01
  8.550083  0.14732620E+01  0.96663522E+01
  8.686140  0.12735995E+01  0.98396342E+01
  8.822197  0.11327850E+01  0.99937574E+01
  8.958254  0.10838438E+01  0.10141222E+02
  9.094311  0.11940265E+01  0.10303677E+02
  9.230368  0.15523826E+01  0.10514890E+02
  9.366425  0.20387910E+01  0.10792281E+02
  9.502482  0.19064208E+01  0.11051663E+02
