#  E (eV)   dos(E)     Int dos(E)
   -6.552242616  0.69996860E-13  0.95235579E-14
   -6.416185685  0.64941758E-09  0.88367287E-10
   -6.280128754  0.88362569E-06  0.12031177E-06
   -6.144071822  0.18543692E-03  0.25350289E-04
   -6.008014891  0.66306019E-02  0.92748964E-03
   -5.871957960  0.50201334E-01  0.77577291E-02
   -5.735901029  0.12481092E+00  0.24739121E-01
   -5.599844097  0.18256821E+00  0.49578791E-01
   -5.463787166  0.22558712E+00  0.80271481E-01
   -5.327730235  0.26305614E+00  0.11606209E+00
   -5.191673304  0.29602219E+00  0.15633796E+00
   -5.055616373  0.32685713E+00  0.20080914E+00
   -4.919559441  0.35874711E+00  0.24961917E+00
   -4.783502510  0.38407640E+00  0.30187543E+00
   -4.647445579  0.41877011E+00  0.35885201E+00
   -4.511388648  0.44316706E+00  0.41914796E+00
   -4.375331716  0.47393032E+00  0.48362946E+00
   -4.239274785  0.51391242E+00  0.55355081E+00
   -4.103217854  0.53130155E+00  0.62583806E+00
   -3.967160923  0.59402139E+00  0.70665879E+00
   -3.831103991  0.62518645E+00  0.79171974E+00
   -3.695047060  0.69755321E+00  0.88662669E+00
   -3.558990129  0.82297880E+00  0.99859866E+00
   -3.422933198  0.83013143E+00  0.11115438E+01
   -3.286876267  0.82018428E+00  0.12231356E+01
   -3.150819335  0.78666670E+00  0.13301670E+01
   -3.014762404  0.70811042E+00  0.14265103E+01
   -2.878705473  0.67178539E+00  0.15179114E+01
   -2.742648542  0.66300080E+00  0.16081173E+01
   -2.606591610  0.56435166E+00  0.16849012E+01
   -2.470534679  0.50106536E+00  0.17530746E+01
   -2.334477748  0.55202203E+00  0.18281810E+01
   -2.198420817  0.38613170E+00  0.18807169E+01
   -2.062363885  0.32264376E+00  0.19246149E+01
   -1.926306954  0.35044124E+00  0.19722948E+01
   -1.790250023  0.17036892E+00  0.19954747E+01
   -1.654193092  0.52764499E-01  0.20026537E+01
   -1.518136161  0.17026268E+00  0.20258191E+01
   -1.382079229  0.30252250E+00  0.20669794E+01
   -1.246022298  0.23566790E+00  0.20990436E+01
   -1.109965367  0.38765633E+00  0.21517870E+01
   -0.973908436  0.73368240E+00  0.22516095E+01
   -0.837851504  0.97744352E+00  0.23845975E+01
   -0.701794573  0.13224516E+01  0.25645262E+01
   -0.565737642  0.11555759E+01  0.27217503E+01
   -0.429680711  0.85139016E+00  0.28375879E+01
   -0.293623779  0.66858671E+00  0.29285537E+01
   -0.157566848  0.64120758E+00  0.30157944E+01
   -0.021509917  0.60726774E+00  0.30984174E+01
    0.114547014  0.51068462E+00  0.31678996E+01
    0.250603945  0.45032073E+00  0.32291689E+01
    0.386660877  0.44669802E+00  0.32899452E+01
    0.522717808  0.41639952E+00  0.33465993E+01
    0.658774739  0.38850970E+00  0.33994587E+01
    0.794831670  0.29683106E+00  0.34398446E+01
    0.930888602  0.36950289E+00  0.34901181E+01
    1.066945533  0.27237588E+00  0.35271767E+01
    1.203002464  0.30668547E+00  0.35689034E+01
    1.339059395  0.23597090E+00  0.36010088E+01
    1.475116326  0.25834216E+00  0.36361581E+01
    1.611173258  0.45854749E+00  0.36985467E+01
    1.747230189  0.71296243E+00  0.37955501E+01
    1.883287120  0.10602542E+01  0.39398051E+01
    2.019344051  0.11456800E+01  0.40956828E+01
    2.155400983  0.10422635E+01  0.42374899E+01
    2.291457914  0.10614474E+01  0.43819072E+01
    2.427514845  0.98253091E+00  0.45155873E+01
    2.563571776  0.10414318E+01  0.46572814E+01
    2.699628708  0.10890841E+01  0.48054588E+01
    2.835685639  0.11043928E+01  0.49557191E+01
    2.971742570  0.11976294E+01  0.51186649E+01
    3.107799501  0.13390024E+01  0.53008455E+01
    3.243856432  0.14585935E+01  0.54992972E+01
    3.379913364  0.14709592E+01  0.56994314E+01
    3.515970295  0.14601324E+01  0.58980925E+01
    3.652027226  0.13787838E+01  0.60856856E+01
    3.788084157  0.13855188E+01  0.62741951E+01
    3.924141089  0.13280872E+01  0.64548905E+01
    4.060198020  0.12881997E+01  0.66301590E+01
    4.196254951  0.12656966E+01  0.68023658E+01
    4.332311882  0.12268096E+01  0.69692818E+01
    4.468368814  0.11874033E+01  0.71308362E+01
    4.604425745  0.11645734E+01  0.72892845E+01
    4.740482676  0.11054943E+01  0.74396947E+01
    4.876539607  0.94921821E+00  0.75688424E+01
    5.012596538  0.76711660E+00  0.76732139E+01
    5.148653470  0.58730079E+00  0.77531203E+01
    5.284710401  0.50806030E+00  0.78222454E+01
    5.420767332  0.40612237E+00  0.78775011E+01
    5.556824263  0.32615268E+00  0.79218765E+01
    5.692881195  0.26263820E+00  0.79576102E+01
    5.828938126  0.18294471E+00  0.79825011E+01
    5.964995057  0.10185564E+00  0.79963593E+01
    6.101051988  0.25032461E-01  0.79997651E+01
    6.237108920  0.16748536E-02  0.79999930E+01
    6.373165851  0.93404867E-03  0.80001201E+01
    6.509222782  0.19175835E-01  0.80027291E+01
    6.645279713  0.92925716E-01  0.80153723E+01
    6.781336644  0.22247690E+00  0.80456418E+01
    6.917393576  0.30437609E+00  0.80870543E+01
    7.053450507  0.40353043E+00  0.81419574E+01
    7.189507438  0.48372594E+00  0.82077717E+01
    7.325564369  0.51939395E+00  0.82784388E+01
    7.461621301  0.62276226E+00  0.83631699E+01
    7.597678232  0.74935166E+00  0.84651244E+01
    7.733735163  0.81480701E+00  0.85759846E+01
    7.869792094  0.97653359E+00  0.87088487E+01
    8.005849026  0.11541116E+01  0.88658736E+01
    8.141905957  0.13487804E+01  0.90493845E+01
    8.277962888  0.15327204E+01  0.92579218E+01
    8.414019819  0.15286378E+01  0.94659035E+01
    8.550076750  0.14732629E+01  0.96663512E+01
    8.686133682  0.12736011E+01  0.98396334E+01
    8.822190613  0.11327853E+01  0.99937567E+01
    8.958247544  0.10838439E+01  0.10141221E+02
    9.094304475  0.11940257E+01  0.10303677E+02
    9.230361407  0.15523809E+01  0.10514889E+02
    9.366418338  0.20387913E+01  0.10792281E+02
    9.502475269  0.19064228E+01  0.11051663E+02
    9.638532200  0.16868145E+01  0.11281165E+02
    9.774589132  0.16011321E+01  0.11499010E+02
    9.910646063  0.15872069E+01  0.11714961E+02
   10.046702994  0.12962805E+01  0.11891329E+02
   10.182759925  0.11949332E+01  0.12053908E+02
   10.318816856  0.13301834E+01  0.12234889E+02
   10.454873788  0.12370215E+01  0.12403194E+02
   10.590930719  0.11708642E+01  0.12562498E+02
   10.726987650  0.13582420E+01  0.12747296E+02
   10.863044581  0.13944837E+01  0.12937026E+02
   10.999101513  0.11374818E+01  0.13091788E+02
   11.135158444  0.11333369E+01  0.13245986E+02
   11.271215375  0.12380859E+01  0.13414436E+02
   11.407272306  0.12149086E+01  0.13579733E+02
   11.543329238  0.11390082E+01  0.13734703E+02
   11.679386169  0.10940626E+01  0.13883558E+02
   11.815443100  0.10388556E+01  0.14024901E+02
   11.951500031  0.11729255E+01  0.14184486E+02
   12.087556962  0.10110053E+01  0.14322040E+02
   12.223613894  0.89980738E+00  0.14444465E+02
   12.359670825  0.10457369E+01  0.14586745E+02
   12.495727756  0.12699735E+01  0.14759534E+02
   12.631784687  0.12624336E+01  0.14931297E+02
   12.767841619  0.11102671E+01  0.15082356E+02
   12.903898550  0.10680522E+01  0.15227672E+02
   13.039955481  0.12376897E+01  0.15396068E+02
   13.176012412  0.13477393E+01  0.15579438E+02
   13.312069343  0.10037361E+01  0.15716003E+02
   13.448126275  0.10233295E+01  0.15855234E+02
   13.584183206  0.12062519E+01  0.16019353E+02
   13.720240137  0.15788283E+01  0.16234163E+02
   13.856297068  0.14051344E+01  0.16425342E+02
   13.992354000  0.10992721E+01  0.16574905E+02
   14.128410931  0.11080117E+01  0.16725658E+02
   14.264467862  0.12918589E+01  0.16901424E+02
   14.400524793  0.12573828E+01  0.17072500E+02
   14.536581725  0.11169462E+01  0.17224468E+02
   14.672638656  0.10948173E+01  0.17373426E+02
   14.808695587  0.14168319E+01  0.17566195E+02
   14.944752518  0.15579353E+01  0.17778163E+02
   15.080809449  0.13336542E+01  0.17959616E+02
   15.216866381  0.12789293E+01  0.18133623E+02
   15.352923312  0.13457313E+01  0.18316719E+02
   15.488980243  0.14776530E+01  0.18517764E+02
   15.625037174  0.14409607E+01  0.18713817E+02
   15.761094106  0.13072758E+01  0.18891681E+02
   15.897151037  0.11609770E+01  0.19049640E+02
   16.033207968  0.13240411E+01  0.19229785E+02
   16.169264899  0.14224489E+01  0.19423319E+02
   16.305321831  0.12609388E+01  0.19594878E+02
   16.441378762  0.10685125E+01  0.19740257E+02
   16.577435693  0.10742307E+01  0.19886414E+02
   16.713492624  0.12880685E+01  0.20061664E+02
   16.849549555  0.14475952E+01  0.20258620E+02
   16.985606487  0.12304335E+01  0.20426029E+02
   17.121663418  0.12325954E+01  0.20593732E+02
   17.257720349  0.13273142E+01  0.20774322E+02
   17.393777280  0.13307115E+01  0.20955374E+02
   17.529834212  0.12481333E+01  0.21125192E+02
   17.665891143  0.12207118E+01  0.21291278E+02
   17.801948074  0.12134617E+01  0.21456378E+02
   17.938005005  0.13944494E+01  0.21646102E+02
   18.074061937  0.16201769E+01  0.21866539E+02
   18.210118868  0.17757395E+01  0.22108140E+02
   18.346175799  0.15306189E+01  0.22316392E+02
   18.482232730  0.14988790E+01  0.22520325E+02
   18.618289661  0.17022034E+01  0.22751921E+02
   18.754346593  0.16898422E+01  0.22981836E+02
   18.890403524  0.15024195E+01  0.23186250E+02
   19.026460455  0.13571158E+01  0.23370895E+02
   19.162517386  0.14745680E+01  0.23571521E+02
   19.298574318  0.15104697E+01  0.23777030E+02
   19.434631249  0.14606564E+01  0.23975763E+02
   19.570688180  0.16634636E+01  0.24202089E+02
   19.706745111  0.18540699E+01  0.24454348E+02
   19.842802043  0.19244803E+01  0.24716187E+02
   19.978858974  0.18499676E+01  0.24967888E+02
   20.114915905  0.16334524E+01  0.25190130E+02
   20.250972836  0.15442990E+01  0.25400243E+02
   20.387029767  0.14095055E+01  0.25592016E+02
   20.523086699  0.12760852E+01  0.25765636E+02
   20.659143630  0.13280697E+01  0.25946329E+02
   20.795200561  0.13145845E+01  0.26125187E+02
   20.931257492  0.14497198E+01  0.26322432E+02
   21.067314424  0.16585416E+01  0.26548088E+02
   21.203371355  0.15796286E+01  0.26763007E+02
