# beta is the volume thermal expansion 
#   T (K)         V(T) (a.u.)^3          F (T) (Ry)       beta (10^(-6) K^(-1))
 0.40000E+01    0.2674870295930E+03   -0.1584186545682E+02   -0.39466130E-02
 0.70000E+01    0.2674870239798E+03   -0.1584186546661E+02   -0.15677145E-01
 0.10000E+02    0.2674870044324E+03   -0.1584186550063E+02   -0.42229847E-01
 0.13000E+02    0.2674869562042E+03   -0.1584186558349E+02   -0.91999329E-01
 0.16000E+02    0.2674868567807E+03   -0.1584186574996E+02   -0.17566548E+00
 0.19000E+02    0.2674866742750E+03   -0.1584186604672E+02   -0.30364193E+00
 0.22000E+02    0.2674863694597E+03   -0.1584186653291E+02   -0.48172568E+00
 0.25000E+02    0.2674859011447E+03   -0.1584186727836E+02   -0.70880323E+00
 0.28000E+02    0.2674852318905E+03   -0.1584186835976E+02   -0.97779375E+00
 0.31000E+02    0.2674843318723E+03   -0.1584186985645E+02   -0.12782162E+01
 0.34000E+02    0.2674831804736E+03   -0.1584187184653E+02   -0.15986713E+01
 0.37000E+02    0.2674817661662E+03   -0.1584187440407E+02   -0.19285076E+01
 0.40000E+02    0.2674800854298E+03   -0.1584187759722E+02   -0.22586513E+01
 0.43000E+02    0.2674781413007E+03   -0.1584188148737E+02   -0.25818433E+01
 0.46000E+02    0.2674759419099E+03   -0.1584188612878E+02   -0.28925417E+01
 0.49000E+02    0.2674734991888E+03   -0.1584189156884E+02   -0.31866736E+01
 0.52000E+02    0.2674708278055E+03   -0.1584189784849E+02   -0.34613507E+01
 0.55000E+02    0.2674679443267E+03   -0.1584190500288E+02   -0.37146065E+01
 0.58000E+02    0.2674648665766E+03   -0.1584191306205E+02   -0.39451766E+01
 0.61000E+02    0.2674616131499E+03   -0.1584192205166E+02   -0.41523291E+01
 0.64000E+02    0.2674582030447E+03   -0.1584193199360E+02   -0.43357365E+01
 0.67000E+02    0.2674546553802E+03   -0.1584194290666E+02   -0.44953836E+01
 0.70000E+02    0.2674509891771E+03   -0.1584195480704E+02   -0.46315009E+01
 0.73000E+02    0.2674472231833E+03   -0.1584196770881E+02   -0.47445155E+01
 0.76000E+02    0.2674433757321E+03   -0.1584198162431E+02   -0.48350154E+01
 0.79000E+02    0.2674394646263E+03   -0.1584199656448E+02   -0.49037204E+01
 0.82000E+02    0.2674355070419E+03   -0.1584201253912E+02   -0.49514590E+01
 0.85000E+02    0.2674315194506E+03   -0.1584202955711E+02   -0.49791476E+01
 0.88000E+02    0.2674275175559E+03   -0.1584204762656E+02   -0.49877721E+01
 0.91000E+02    0.2674235162455E+03   -0.1584206675494E+02   -0.49783710E+01
 0.94000E+02    0.2674195295550E+03   -0.1584208694918E+02   -0.49520197E+01
 0.97000E+02    0.2674155706449E+03   -0.1584210821576E+02   -0.49098158E+01
 0.10000E+03    0.2674116517878E+03   -0.1584213056071E+02   -0.48528665E+01
 0.10300E+03    0.2674077843666E+03   -0.1584215398967E+02   -0.47822761E+01
 0.10600E+03    0.2674039788807E+03   -0.1584217850794E+02   -0.46991362E+01
 0.10900E+03    0.2674002449603E+03   -0.1584220412043E+02   -0.46045164E+01
 0.11200E+03    0.2673965913879E+03   -0.1584223083172E+02   -0.44994564E+01
 0.11500E+03    0.2673930261244E+03   -0.1584225864602E+02   -0.43849609E+01
 0.11800E+03    0.2673895563401E+03   -0.1584228756720E+02   -0.42619934E+01
 0.12100E+03    0.2673861884492E+03   -0.1584231759879E+02   -0.41314732E+01
 0.12400E+03    0.2673829281469E+03   -0.1584234874392E+02   -0.39942724E+01
 0.12700E+03    0.2673797804477E+03   -0.1584238100542E+02   -0.38512144E+01
