#  
#   T (K)        V_T(T) (a.u.)^3        B_0(T) (kbar)     dB0/dp       free energy (Ry) 
 0.10000E+01   0.1043550368648E+03   0.8176400061900E+03   0.4847676481080E+01  -0.4188204180284E+01
 0.40000E+01   0.1043550247456E+03   0.8176383820460E+03   0.4847942036760E+01  -0.4188204185624E+01
 0.70000E+01   0.1043550197715E+03   0.8176426146105E+03   0.4848019743854E+01  -0.4188204199324E+01
 0.10000E+02   0.1043550353142E+03   0.8176417914339E+03   0.4847692376607E+01  -0.4188204218739E+01
 0.13000E+02   0.1043550107186E+03   0.8176485869327E+03   0.4848085854565E+01  -0.4188204250538E+01
 0.16000E+02   0.1043550177629E+03   0.8176439032108E+03   0.4847983549667E+01  -0.4188204281356E+01
 0.19000E+02   0.1043550378095E+03   0.8176471079723E+03   0.4847616467503E+01  -0.4188204322241E+01
 0.22000E+02   0.1043550360771E+03   0.8176494700452E+03   0.4847677794470E+01  -0.4188204371088E+01
 0.25000E+02   0.1043550254238E+03   0.8176434803935E+03   0.4847943191542E+01  -0.4188204423051E+01
 0.28000E+02   0.1043550243326E+03   0.8176510831293E+03   0.4847812283376E+01  -0.4188204484911E+01
 0.31000E+02   0.1043550251867E+03   0.8176378602593E+03   0.4848209707095E+01  -0.4188204548864E+01
 0.34000E+02   0.1043550018781E+03   0.8176461211822E+03   0.4848232802389E+01  -0.4188204628069E+01
 0.37000E+02   0.1043550264358E+03   0.8176562812770E+03   0.4847875165963E+01  -0.4188204711478E+01
 0.40000E+02   0.1043550011228E+03   0.8176546126422E+03   0.4848215337961E+01  -0.4188204801903E+01
 0.43000E+02   0.1043550193577E+03   0.8176553994434E+03   0.4847968829330E+01  -0.4188204898292E+01
 0.46000E+02   0.1043549711755E+03   0.8176433693754E+03   0.4848882011801E+01  -0.4188204995453E+01
 0.49000E+02   0.1043549845090E+03   0.8176507444241E+03   0.4848748996529E+01  -0.4188205109426E+01
 0.52000E+02   0.1043549692503E+03   0.8176541076918E+03   0.4848878461232E+01  -0.4188205223387E+01
 0.55000E+02   0.1043549954761E+03   0.8176624377233E+03   0.4848463818688E+01  -0.4188205350288E+01
 0.58000E+02   0.1043549869997E+03   0.8176590743998E+03   0.4848599851272E+01  -0.4188205480301E+01
 0.61000E+02   0.1043549672357E+03   0.8176599710479E+03   0.4848934966406E+01  -0.4188205617006E+01
 0.64000E+02   0.1043549840193E+03   0.8176660793228E+03   0.4848743425398E+01  -0.4188205765463E+01
 0.67000E+02   0.1043549662097E+03   0.8176754959204E+03   0.4848769193700E+01  -0.4188205916909E+01
 0.70000E+02   0.1043549424174E+03   0.8176605210634E+03   0.4849476252694E+01  -0.4188206068938E+01
 0.73000E+02   0.1043549217016E+03   0.8176725848693E+03   0.4849657079076E+01  -0.4188206241550E+01
 0.76000E+02   0.1043549355951E+03   0.8176755903035E+03   0.4849497019612E+01  -0.4188206410238E+01
 0.79000E+02   0.1043549057049E+03   0.8176739249734E+03   0.4849791794113E+01  -0.4188206587061E+01
 0.82000E+02   0.1043548855281E+03   0.8176824808352E+03   0.4850105836771E+01  -0.4188206778679E+01
 0.85000E+02   0.1043548751280E+03   0.8176763246428E+03   0.4850362483959E+01  -0.4188206967707E+01
 0.88000E+02   0.1043548843286E+03   0.8176838422346E+03   0.4850182307667E+01  -0.4188207168670E+01
 0.91000E+02   0.1043548794675E+03   0.8176861513209E+03   0.4850396490884E+01  -0.4188207374454E+01
 0.94000E+02   0.1043548568706E+03   0.8176934658143E+03   0.4850669203087E+01  -0.4188207592532E+01
 0.97000E+02   0.1043548466027E+03   0.8176943676208E+03   0.4850822160133E+01  -0.4188207813657E+01
 0.10000E+03   0.1043548275016E+03   0.8176899817587E+03   0.4851255922854E+01  -0.4188208038083E+01
 0.10300E+03   0.1043548216475E+03   0.8176880332868E+03   0.4851522772375E+01  -0.4188208272040E+01
 0.10600E+03   0.1043548347299E+03   0.8177045005375E+03   0.4851220637215E+01  -0.4188208521021E+01
 0.10900E+03   0.1043548035495E+03   0.8176994422999E+03   0.4851802384005E+01  -0.4188208764637E+01
 0.11200E+03   0.1043547990070E+03   0.8177049718072E+03   0.4851806424285E+01  -0.4188209020780E+01
 0.11500E+03   0.1043547967280E+03   0.8177039003100E+03   0.4851849587777E+01  -0.4188209279095E+01
 0.11800E+03   0.1043547798923E+03   0.8177197775586E+03   0.4852000737199E+01  -0.4188209554517E+01
 0.12100E+03   0.1043547843657E+03   0.8177220911953E+03   0.4852229981543E+01  -0.4188209827713E+01
 0.12400E+03   0.1043547724430E+03   0.8177200450936E+03   0.4852398278523E+01  -0.4188210111964E+01
 0.12700E+03   0.1043547614382E+03   0.8177260304455E+03   0.4852559448107E+01  -0.4188210402750E+01
 0.13000E+03   0.1043547190850E+03   0.8177367865943E+03   0.4853089565162E+01  -0.4188210704464E+01
 0.13300E+03   0.1043547252556E+03   0.8177381715370E+03   0.4853203012571E+01  -0.4188211006416E+01
 0.13600E+03   0.1043547124527E+03   0.8177386188711E+03   0.4853320100828E+01  -0.4188211312836E+01
 0.13900E+03   0.1043546973871E+03   0.8177466998403E+03   0.4853638549232E+01  -0.4188211634687E+01
 0.14200E+03   0.1043546833741E+03   0.8177487061185E+03   0.4853806271571E+01  -0.4188211955561E+01
 0.14500E+03   0.1043546842011E+03   0.8177525439429E+03   0.4853978704887E+01  -0.4188212291438E+01
 0.14800E+03   0.1043546475620E+03   0.8177597115003E+03   0.4854588271236E+01  -0.4188212629465E+01
 0.15100E+03   0.1043546505902E+03   0.8177644872175E+03   0.4854582995849E+01  -0.4188212977822E+01
 0.15400E+03   0.1043545976938E+03   0.8177721153658E+03   0.4855341909652E+01  -0.4188213329484E+01
 0.15700E+03   0.1043546261844E+03   0.8177750119582E+03   0.4855001051835E+01  -0.4188213686785E+01
 0.16000E+03   0.1043546178865E+03   0.8177815334860E+03   0.4855319430758E+01  -0.4188214054302E+01
 0.16300E+03   0.1043545792558E+03   0.8177798918156E+03   0.4856042599772E+01  -0.4188214427116E+01
 0.16600E+03   0.1043545614365E+03   0.8177950605006E+03   0.4856088162894E+01  -0.4188214810281E+01
 0.16900E+03   0.1043545356415E+03   0.8177897076053E+03   0.4856704717632E+01  -0.4188215195142E+01
 0.17200E+03   0.1043545601296E+03   0.8178049171715E+03   0.4856262209431E+01  -0.4188215589661E+01
 0.17500E+03   0.1043545181718E+03   0.8178040629652E+03   0.4856932921953E+01  -0.4188215989196E+01
 0.17800E+03   0.1043545276019E+03   0.8178136750676E+03   0.4857031987055E+01  -0.4188216402187E+01
 0.18100E+03   0.1043545140203E+03   0.8178202007627E+03   0.4857216488853E+01  -0.4188216811961E+01
 0.18400E+03   0.1043544986358E+03   0.8178262329620E+03   0.4857558587667E+01  -0.4188217234470E+01
 0.18700E+03   0.1043544828216E+03   0.8178304867784E+03   0.4858022189592E+01  -0.4188217664222E+01
 0.19000E+03   0.1043544634032E+03   0.8178399230312E+03   0.4858301168898E+01  -0.4188218102120E+01
 0.19300E+03   0.1043544290614E+03   0.8178282792668E+03   0.4858967731412E+01  -0.4188218536655E+01
