# beta is the volume thermal expansion 
#   T (K)         V(T) (a.u.)^3          F (T) (Ry)       beta (10^(-6) K^(-1))
 0.40000E+01    0.1054316690273E+03   -0.4185339585156E+01   -0.20971091E-01
 0.70000E+01    0.1054316626522E+03   -0.4185339601503E+01    0.33094245E-01
 0.10000E+02    0.1054316899623E+03   -0.4185339632629E+01    0.47688504E-01
 0.13000E+02    0.1054316928195E+03   -0.4185339689019E+01    0.13181064E+00
 0.16000E+02    0.1054317733445E+03   -0.4185339773389E+01    0.34231698E+00
 0.19000E+02    0.1054319093660E+03   -0.4185339910160E+01    0.53682047E+00
 0.22000E+02    0.1054321129325E+03   -0.4185340115248E+01    0.84336441E+00
 0.25000E+02    0.1054324428721E+03   -0.4185340410313E+01    0.12873968E+01
 0.28000E+02    0.1054329273328E+03   -0.4185340833457E+01    0.19325490E+01
 0.31000E+02    0.1054336653979E+03   -0.4185341415442E+01    0.26718162E+01
 0.34000E+02    0.1054346175291E+03   -0.4185342208928E+01    0.35859559E+01
 0.37000E+02    0.1054359339012E+03   -0.4185343254380E+01    0.47056557E+01
 0.40000E+02    0.1054375944003E+03   -0.4185344598964E+01    0.59582478E+01
 0.43000E+02    0.1054397032411E+03   -0.4185346296622E+01    0.73183081E+01
 0.46000E+02    0.1054422242418E+03   -0.4185348387720E+01    0.87693104E+01
 0.49000E+02    0.1054452511747E+03   -0.4185350943607E+01    0.10332902E+02
 0.52000E+02    0.1054487615746E+03   -0.4185353991530E+01    0.11967993E+02
 0.55000E+02    0.1054528232352E+03   -0.4185357593562E+01    0.13660275E+02
 0.58000E+02    0.1054574046617E+03   -0.4185361779220E+01    0.15310810E+02
 0.61000E+02    0.1054625110650E+03   -0.4185366592834E+01    0.17035854E+02
 0.64000E+02    0.1054681845256E+03   -0.4185372078602E+01    0.18726701E+02
 0.67000E+02    0.1054743614917E+03   -0.4185378257334E+01    0.20425246E+02
 0.70000E+02    0.1054811105640E+03   -0.4185385159981E+01    0.22100685E+02
 0.73000E+02    0.1054883487206E+03   -0.4185392831642E+01    0.23763911E+02
 0.76000E+02    0.1054961514584E+03   -0.4185401275832E+01    0.25408179E+02
